2025-10-19 18:44:18.674 [info] Started local extension host with pid 4633.
2025-10-19 18:44:19.323 [info] Settings Sync: Account status changed from uninitialized to unavailable
2025-10-19 18:44:21.308 [info] [perf] Render performance baseline is 13ms
2025-10-19 19:02:45.058 [warning] [twxs.cmake]: Cannot register 'cmake.cmakePath'. This property is already registered.
2025-10-19 19:02:45.266 [error] [Extension Host] (node:4633) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
(Use `exe --trace-deprecation ...` to show where the warning was created)
2025-10-19 19:02:55.404 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:03:11.518 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:03:11.840 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:03:23.640 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:27.883 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:28.156 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:31.109 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:31.433 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:38.556 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:38.921 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:39.464 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:40.458 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:06:41.063 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:07.025 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:10.865 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:16.116 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:16.893 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:24.501 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:25.247 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:25.594 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:27.058 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:27.275 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:29.650 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:36.798 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:41.380 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:43.790 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:44.884 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:45.192 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:45.536 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:48.708 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:07:49.128 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:08:50.826 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:08:51.139 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:08:52.828 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:08:54.416 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:10:56.705 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:10:59.703 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:00.999 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:04.466 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:20.990 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:34.634 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:34.916 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:35.217 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:37.696 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:38.265 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:38.595 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:41.684 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:43.561 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:43.812 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:46.345 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:46.553 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:48.176 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:49.010 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:49.288 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:56.706 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:57.160 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:11:59.148 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:01.774 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:02.082 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:02.388 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:03.476 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:03.783 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:05.480 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:06.435 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:08.163 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:09.445 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:09.651 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:09.968 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:10.392 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:13.274 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:12:20.865 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:14:11.404 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:16:34.735 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:02.369 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:08.729 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:09.083 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:09.426 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:33.399 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:35.413 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:36.229 [warning] [LM] No provider registered for vendor copilot
2025-10-19 19:24:36.551 [warning] [LM] No provider registered for vendor copilot
