2025-12-29 10:09:41.551 [info] Reading sessions from keychain...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.551 [info] Getting sessions for all scopes...
2025-12-29 10:09:41.551 [info] Got 0 sessions for ...
2025-12-29 10:09:41.811 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-29 10:09:41.811 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-12-29 10:09:43.260 [info] Getting sessions for all scopes...
2025-12-29 10:09:43.260 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Reading sessions from keychain...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:56.052 [info] Getting sessions for all scopes...
2025-12-29 10:09:56.052 [info] Got 0 sessions for ...
2025-12-29 10:09:57.624 [info] Getting sessions for all scopes...
2025-12-29 10:09:57.624 [info] Got 0 sessions for ...
